"sample_id","sampling_id","nutrient_id","sampling_day","sampling_date","sample_type","tank_id","treatment","taxonomy","treatment_tank","region","pct_C","pct_H","pct_N","pct_P","P_conc","group","NP"
"M_M854","M_D08","M_M854_N","8","2019-05-15","algae","01","fish","Padina_pavonica","F1","Med_Mes",25.8405,4.837,1.383,0.06,611.7,"Fish D8",23.05
"M_M879","M_D08","M_M879_N","8","2019-05-15","algae","03","fish","Halopteris_scoparia","F3","Med_Mes",29.449,5.2125,2.069,0.03,285,"Fish D8",68.9666666666667
"M_M924","M_D08","M_M924_N","8","2019-05-15","algae","07","fish","Halopteris_scoparia","F7","Med_Mes",29.263,4.7015,2.102,0.06,647.7,"Fish D8",35.0333333333333
"M_M762","M_D00","M_M762_N","0","2019-05-07","algae","sea","environmental_control","Padina_pavonica","sea","Med_Mes",23.008,3.64,1.4565,0.07,680,"Environmental control D0",20.8071428571429
"M_M887","M_D08","M_M887_N","8","2019-05-15","algae","04","control","Cystoseira_rayssiae","C4","Med_Mes",28.7205,4.805,1.3695,0.04,373.5,"Control D8",34.2375
"M_M761","M_D00","M_M761_N","0","2019-05-07","algae","sea","environmental_control","Halopteris_scoparia","sea","Med_Mes",33.8925,5.332,1.7875,0.08,769.4,"Environmental control D0",22.34375
"M_M914","M_D08","M_M914_N","8","2019-05-15","algae","07","fish","Ulva_intestinalis","F7","Med_Mes",22.649,4.69266666666667,1.19166666666667,0.03,343.7,"Fish D8",39.7222222222223
"M_M862","M_D08","M_M862_N","8","2019-05-15","algae","02","control","Ulva_intestinalis","C2","Med_Mes",31.987,4.78033333333333,1.82033333333333,NA,1673.1,"Control D8",NA
"M_M877","M_D08","M_M877_N","8","2019-05-15","algae","03","fish","Padina_pavonica","F3","Med_Mes",24.948,4.415,1.5585,0.04,429.7,"Fish D8",38.9625
"M_M860","M_D08","M_M860_N","8","2019-05-15","algae","02","control","Ulva_intestinalis","C2","Med_Mes",24.866,4.554,1.461,0.05,513.4,"Control D8",29.22
"M_M891","M_D08","M_M891_N","8","2019-05-15","algae","04","control","Halopteris_scoparia","C4","Med_Mes",31.3225,4.749,1.1215,0.04,378.7,"Control D8",28.0375
"M_M856","M_D08","M_M856_N","8","2019-05-15","algae","01","fish","Halopteris_scoparia","F1","Med_Mes",33.253,5.15,1.4535,0.05,478.8,"Fish D8",29.07
"M_M889","M_D08","M_M889_N","8","2019-05-15","algae","04","control","Padina_pavonica","C4","Med_Mes",21.144,3.5705,0.891,0.05,488.5,"Control D8",17.82
"M_M880","M_D08","M_M880_N","8","2019-05-15","algae","03","fish","Halopteris_scoparia","F3","Med_Mes",29.7635,4.572,1.6925,0.04,401.1,"Fish D8",42.3125
"M_M923","M_D08","M_M923_N","8","2019-05-15","algae","07","fish","Halopteris_scoparia","F7","Med_Mes",29.942,4.495,2.25,0.04,363.6,"Fish D8",56.25
"M_M922","M_D08","M_M922_N","8","2019-05-15","algae","07","fish","Padina_pavonica","F7","Med_Mes",22.728,3.9575,1.327,0.03,309,"Fish D8",44.2333333333333
"M_M849","M_D08","M_M849_N","8","2019-05-15","algae","01","fish","Cystoseira_rayssiae","F1","Med_Mes",22.543,3.4935,0.949,0.02,247.8,"Fish D8",47.45
"M_M754","M_D00","M_M754_N","0","2019-05-07","algae","sea","environmental_control","Cystoseira_rayssiae","sea","Med_Mes",27.6925,4.6625,1.2925,0.06,563.7,"Environmental control D0",21.5416666666667
"M_M754","M_D00","M_M754_N","0","2019-05-07","algae","sea","environmental_control","Cystoseira_rayssiae","sea","Med_Mes",27.693,4.663,1.293,0.06,563.7,"Environmental control D0",21.55
